"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"FAGGRA03_HF_08","FAGGRA","03","FAGGRA03","08","chill2","time2","2_2",36,4,5
"ILEMUCX3_HF_09","ILEMUC","X3","ILEMUCX3","09","chill2","time1","2_1",37,5,5
"BETALL17_HF_01","BETALL","17","BETALL17","01","chill2","time3","2_3",37,5,5
"FAGGRA02_HF_01","FAGGRA","02","FAGGRA02","01","chill2","time1","2_1",37,5,5
"FAGGRA10_HF_02","FAGGRA","10","FAGGRA10","02","chill2","time1","2_1",38,6,5
"ACESAC05_HF_11","ACESAC","05","ACESAC05","11","chill2","time3","2_3",38,6,5
"ILEMUCX1_HF_12","ILEMUC","X1","ILEMUCX1","12","chill2","time2","2_2",38,6,5
"QUERUB21_HF_02","QUERUB","21","QUERUB21","02","chill2","time2","2_2",39,7,5
"BETALL22_HF_04","BETALL","22","BETALL22","04","chill2","time1","2_1",39,7,5
"HAMVIRX6_HF_04","HAMVIR","X6","HAMVIRX6","04","chill2","time3","2_3",39,7,5
"ACESAC99_HF_06","ACESAC","99","ACESAC99","06","chill2","time1","2_1",40,8,5
"ILEMUCX3_HF_11","ILEMUC","X3","ILEMUCX3","11","chill2","time2","2_2",40,8,5
"HAMVIRX4_HF_02","HAMVIR","X4","HAMVIRX4","02","chill2","time1","2_1",40,8,5
"ACESAC99_HF_04","ACESAC","99","ACESAC99","04","chill2","time2","2_2",41,1,6
"QUERUB23_HF_05","QUERUB","23","QUERUB23","05","chill2","time1","2_1",41,1,6
"HAMVIRX8_HF_03","HAMVIR","X8","HAMVIRX8","03","chill2","time2","2_2",41,1,6
